freq,r_insample,r_loso,r_amplitude,p_uncorrected,p_fwe,null95
1.37,0.27896065661076624,0.1340871853888146,0.13217584485992973,0.199,0.971,0.3908681888026774
1.375,0.36540994270694177,0.16210512896715193,0.15436118910340393,0.214,0.961,0.416565973667276
1.38,0.36609141330822725,-0.1726523523102492,0.13997586552608957,0.6835,1.0,0.42493104347408595
1.385,0.3052644774679207,-0.18552118407451068,0.1121242981381504,0.671,1.0,0.40194238140272637
1.39,0.16045618040026827,-0.22375086296670596,0.08630096418451778,0.678,1.0,0.4075170290112092
1.395,0.1731947397854471,-0.24688806681390513,0.07001899844657762,0.731,1.0,0.4112663027182063
1.4,0.26642332252310097,-0.1810897642592225,0.07065181949811894,0.6745,1.0,0.4167849012152027
1.405,0.27892012638144104,0.1461677595811803,0.09337909954668834,0.237,0.969,0.4184573952652301
1.41,0.24224144259962305,0.14120444545982336,0.12810697005205762,0.224,0.97,0.40465819364529415
1.415,0.2584077292816583,0.14405191279965643,0.16226500267117866,0.2175,0.9695,0.3915037559800505
1.42,0.36289614942043075,0.1493775141627346,0.17800647586549326,0.2245,0.9675,0.41900594880457026
1.425,0.36792543668084193,-0.1663492709176519,0.148572068433145,0.6405,1.0,0.41840957043107985
1.43,0.27898317890535795,-0.19118324781155638,0.10650756003542573,0.6385,1.0,0.39958433384939834
1.435,0.12900671355688267,-0.2266859044489482,0.07747820323375944,0.6825,1.0,0.40682299417208767
1.44,0.1772505015501516,-0.235816748680741,0.062307919260845064,0.7315,1.0,0.4136594610832278
